,Firearm_Attacks
Afghanistan,3772
Albania,19
Algeria,583
Angola,69
Argentina,6
Armenia,6
Australia,7
Austria,2
Azerbaijan,6
Bahamas,1
Bahrain,8
Bangladesh,111
Belgium,1
Belize,1
Benin,1
Bhutan,1
Bolivia,2
Bosnia-Herzegovina,11
Brazil,39
Burkina Faso,29
Burundi,169
Cambodia,20
Cameroon,84
Canada,6
Central African Republic,168
Chad,34
Chile,13
China,1
Colombia,767
Costa Rica,2
Croatia,3
Cuba,1
Cyprus,1
Czech Republic,1
Democratic Republic of the Congo,354
Denmark,5
Djibouti,2
Dominican Republic,6
East Timor,7
Ecuador,8
Egypt,655
El Salvador,1
Equatorial Guinea,1
Eritrea,1
Estonia,1
Ethiopia,33
Fiji,1
Finland,1
France,43
French Guiana,1
Gabon,1
Georgia,42
Germany,19
Ghana,1
Greece,25
Guatemala,35
Guinea,12
Guinea-Bissau,8
Guyana,8
Haiti,28
Honduras,17
Hungary,2
India,3128
Indonesia,219
Iran,61
Iraq,4193
Ireland,9
Israel,99
Italy,9
Ivory Coast,43
Jamaica,10
Japan,1
Jordan,23
Kazakhstan,8
Kenya,237
Kosovo,60
Kuwait,5
Kyrgyzstan,8
Laos,6
Lebanon,181
Lesotho,2
Liberia,6
Libya,748
Macau,6
Macedonia,44
Madagascar,2
Malawi,1
Malaysia,26
Mali,220
Mauritania,8
Mexico,125
Mozambique,121
Myanmar,60
Namibia,15
Nepal,210
Netherlands,3
Nicaragua,4
Niger,52
Nigeria,2033
Norway,3
Pakistan,4333
Panama,3
Papua New Guinea,2
Paraguay,47
Peru,68
Philippines,2612
Poland,1
Qatar,1
Republic of the Congo,10
Russia,719
Rwanda,26
Saudi Arabia,90
Senegal,42
Serbia,4
Serbia-Montenegro,4
Sierra Leone,22
Slovak Republic,1
Slovenia,1
Solomon Islands,3
Somalia,1350
South Africa,92
South Sudan,123
Spain,33
Sri Lanka,333
Sudan,563
Sweden,3
Switzerland,3
Syria,192
Taiwan,3
Tajikistan,41
Tanzania,9
Thailand,1488
Trinidad and Tobago,1
Tunisia,35
Turkey,475
Turkmenistan,2
Uganda,106
Ukraine,301
United Kingdom,192
United States,108
Uruguay,2
Uzbekistan,3
Venezuela,24
Vietnam,1
West Bank and Gaza Strip,408
Yemen,1078
Yugoslavia,87
Zaire,1
Zambia,9
Zimbabwe,6
Grand Total,34313
